EVENTO,FORMADOR (A)/TUTOR (A),INICIO DA FORMAÇÃO,FIM DA FORMAÇÃO,HORARIO INICIO,HORARIO FIM,CH,MODALIDADE,LOCAL,PÚBLICO-ALVO
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – CRIMINAL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO,04/08/25,08/08/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. ÁREA CRIMINAL
CURSO SNGB: CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,04/08/25,08/08/25,,,3h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO TECNOLOGIA E INOVAÇÃO – MODULO 1: USANDO A TECNOLOGIA PARA UMA GESTÃO MAIS EFICIENTE,EDGAR DO NASCIMENTO CASTELO (INSTRUTOR INTERNO),18/08/25,22/08/25,08:30,12:30,20h/a,-,-,30 SERV.
"CURSO SNIPER, CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0",CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,18/08/25,22/08/25,,,4h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO DEMANDAS PREDATÓRIAS,MONICA TJMG (INSTRUTORA EXTERNA),AGOSTO,AGOSTO,,,-,-,-,MAGIS./ ASSESSORES (AS)
CURSO GESTÃO DE TEMPO E PRODUTIVIDADE,JESSYCA AZULAY,AGOSTO,AGOSTO,,,-,-,-,"30 SERVIDORES, CONCILIADORES E MEDIADORES DE CEJUSCS"
CURSO ELABORAÇÃO DE PROJETO E CAPTAÇÃO DE RECURSOS,A DEFINIR,AGOSTO,AGOSTO,,,-,-,-,EQUIPE TÉCNICA DA CEVID/TJAP • EQUIPE TÉCNICA DA REDE DE ATENDIMENTO A MULHER
CURSO COOPERAÇÃO JUDICIÁRIA,A DEFINIR,AGOSTO,AGOSTO,,,-,-,-,-
CURSO ATUAÇÃO DO ASSISTENTE SOCIAL E PSICÓLOGO NO JUDICIÁRIO,DOUTORA EUNICE TERESINHA FÁVERO - DOUTORA DALVA AZEVEDO DE GOÍS - RITA DE CÁSSIA SILVA OLIVEIRA,AGOSTO,AGOSTO,,,-,-,-,-
CURSO ACADEMIA DE LÍDERES: GESTÃO DO COMPORTAMENTO E DE EQUIPES – MÓDULO 4,GLAUCE GOMES DA COSTA (PESSOA JURÍDICA),AGOSTO,AGOSTO,,,20h/a,PRESENCIAL/EAD,EJAP/MOODLE,INDICAÇÃO SGP/ 40 VAGAS
CURSO GESTÃO DE PROJETOS - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,01/09/25,30/09/25,,,20h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO SNGB: CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,01/09/25,05/09/25,,,3h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO JAVA BÁSICO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,1 º/09/25,30/09/25,,,40h/a,EAD,MOODLE,SERVIDORES E SERVIDORAS DO TJAP – ÁREA TÉCNICA
CURSO TÓPICOS DE SINTAXE DA LÍNGUA PORTUGUESA,AUTOINSTRUCIONAL – compartilhado STJ,1 º/09/25,30/09/25,,,22h/a,EAD,MOODLE,SERV. TJAP
"CURSO SNIPER, CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0",CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,08/09/25,12/09/25,,,4h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO PROCESSO DE EXECUÇÃO CUMPRIMENTO DE SENTENÇA E EXECUÇÃO DE TITULO EXTRAJUDICIAL,MAURICIO CUNHA (INSTRUTOR EXTERNO),15/09/25,17/09/25,,,20h/a,PRESENCIAL,PRESENCIAL,MAGIS./ ASSESSORES (AS)
"CURSO ACADEMIA DE LÍDERES: GESTÃO POR COMPETÊNCIAS, MODELO APLICADO AO TJAP - MÓDULO 5",A DEFINIR,SETEMBRO,SETEMBRO,,,20h/a,PRESENCIAL/EAD,EJAP/MOODLE,INDICAÇÃO SGP/ 40 VAGAS
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – CRIMINAL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),06/10/25,10/10/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. ÁREA CRIMINAL
